"auto_id","unit","id","DATACLASS","CORTEX","TECHNIQUE","ALTER","EDGEDAMAGE","TYPE","FBSECOND","FBTHIRD","PLATSURF","PLATEXT","FORM","SCARMORPH","RETEDGES","RETINTENSE","REPRISE","LENGTH","WIDTH","MAXWIDTH","THICKNESS","PLATWIDTH","PLATTHICK","MATERIAL","EXTSURFACE","EXTTYPE","WEIGHT","PLATTECH","PLATANG","MULTIPLE","EPA","SHAPE","SUPPORT","SURFPCT","PROXREMOVS","PREPPLATS","FLAKDIRECT","SCARLENGTH","SCARWIDTH"
11,"A1",11,"MEDFLAKE","-1","NORMAL","BURNED","NONE",NA,NA,NA,NA,NA,"NORMAL","PLAIN",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","N/A",NA,0,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"A1",12,"COMPFLAKE","60-90%","NORMAL","HEAVY PATINA","EXT/INT",48,NA,NA,"REMOVED","MISSING","NORMAL","BI-",NA,NA,NA,97.39,49.18,55.19,10.51,0,0,"LOCAL CAMPANIEN","60-90%","CORTEX",71,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"A1",13,"MEDFLAKE","0%","N/A","HEAVY PATINA","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",4,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"A1",14,"COMPFLAKE","0%","NORMAL","LIGHTPATINA","EXT/INT",48,NA,NA,"LRG PLAIN","NONE","NORMAL","SUB-RAD","1","N/A","NONE",40.13,46.5,46.96,13.51,29.37,11.5,"LOCAL CAMPANIEN","0-10%","N/A",32,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"A1",15,"COMPFLAKE","10-40%","NORMAL","HEAVY PATINA","NONE",NA,NA,NA,"LRG PLAIN","TRIM","NORMAL","RADIAL",NA,NA,NA,24.3,28.3,29.6,8.3,21.4,3.3,"LOCAL CAMPANIEN","10-40%","CORTEX",6,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"A1",16,"MEDFLAKE","60-90%","NORMAL","BURNED","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","60-90%",NA,0,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"A1",17,"PROXFLAKE","0%","NORMAL","LIGHTPATINA","EXTERIOR",48,NA,NA,"STRT FACET","NONE","NORMAL","N/A","1","N/A","NONE",0,0,0,0,34.16,12.42,"LOCAL CAMPANIEN","0-10%","N/A",16,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"A1",18,"COMPFLAKE","1-10%","NORMAL","UNALTERED","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A","1","N/A","N/A",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","CORTEX",25,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"A1",19,"MEDFLAKE","60-90%","NORMAL","HEAVY PATINA","EXTERIOR",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","60-90%","CORTEX",16,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"A1",20,"MEDFLAKE","10-40%","NORMAL","HEAVY PATINA","EXTERIOR",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","10-40%","CORTEX",14,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"A1",21,"PROXFLAKE","0%","NORMAL","UNALTERED","NONE",NA,NA,NA,"LRG PLAIN","NONE","ECLAT LAME","N/A",NA,NA,NA,0,0,0,0,18,9.7,"LOCAL CAMPANIEN","0-10%","N/A",16,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"A1",22,"COMPFLAKE","1-10%","CLACTON","WHITE","NONE",NA,NA,NA,"LRG PLAIN","RET S / TALON","NORMAL","N/A",NA,NA,NA,0,0,0,10.7,52.4,18,"LOCAL CAMPANIEN","0-10%","CORTEX",22,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"A1",23,"DISTFLAKE","10-40%","NORMAL","UNALTERED","NONE",NA,NA,NA,NA,NA,"NORMAL","UNI-",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","10-40%","CORTEX",12,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"A1",24,"COMPFLAKE","90-99%","N/A","ROLLED/PATINA","INTERIOR",48,NA,NA,"MISSING","NONE","ANGULAR","N/A","1","N/A","NONE",45.37,33.45,37.57,16.59,20.62,7.28,"LOCAL CAMPANIEN","90-100%","CORTEX",32,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"A1",25,"DISTFLAKE","90-99%","NORMAL","UNALTERED","NONE",NA,NA,NA,NA,NA,"NORMAL","OTHER",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","90-100%","CORTEX",40,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"A1",26,"MED TOOL","0%","NORMAL","UNALTERED","NONE",10,NA,NA,NA,NA,"NORMAL","N/A","1","NORMAL","N/A",0,0,0,0,0,0,"LACUSTRE/CHALCEDONY","0-10%","N/A",30,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"A1",27,"COREFRAG","-1","NORMAL","LIGHTPATINA","N/A",NA,NA,NA,NA,NA,"N/A","N/A",NA,NA,NA,48.96,0,32.49,12.15,0,0,"LOCAL CAMPANIEN","N/A","CORTEX",20,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"A1",28,"COMPFLAKE","1-10%","NORMAL","HEAVY PATINA","INTERIOR",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","PLAIN",NA,NA,NA,34.3,28.7,32.4,6.4,20.5,5.4,"LOCAL CAMPANIEN","0-10%","CORTEX",8,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"A1",29,"PROXFLAKE","0%","NORMAL","HEAVY PATINA","INTERIOR",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","RADIAL",NA,NA,NA,0,0,0,0,24.46,6.7,"EXOTIC","0-10%","N/A",22,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"A1",31,"COMPFLAKE","1-10%","NORMAL","LIGHTPATINA","NONE",NA,NA,NA,"MISSING","NONE","NORMAL","SUB-RAD",NA,NA,NA,35.1,25.6,41,7.2,0,0,"LOCAL CAMPANIEN","0-10%","CORTEX",8,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"A1",32,"MED TOOL","1-10%","NORMAL","ROLLED/PATINA","EXTERIOR",46,NA,NA,NA,NA,"NORMAL","N/A","2","N/A","NONE",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","CORTEX",4,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"A1",33,"COMPFLAKE","0%","NORMAL","HEAVY PATINA","EXTERIOR",48,NA,NA,"DIHEDRAL","NONE","NORMAL","N/A","2","N/A","NONE",24.34,30.28,0.82,8.26,25.26,12.05,"LOCAL CAMPANIEN","0-10%","N/A",7,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"A1",34,"SHATTER","10-40%",NA,"LIGHTPATINA","EXTERIOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","10-40%",NA,0,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"A1",35,"COMPFLAKE","0%","NORMAL","LIGHTPATINA","NONE",NA,NA,NA,"LRG CORT","TRIM","NORMAL","N/A",NA,NA,NA,30.4,25.1,27.5,5.8,25,4,"LOCAL CAMPANIEN","0-10%","N/A",6,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"A1",36,"SHATTER","1-10%",NA,"UNALTERED","NONE",NA,NA,NA,NA,NA,"ANGULAR","N/A",NA,NA,NA,0,0,0,0,0,0,"EXOTIC","0-10%","CORTEX",10,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"A1",37,"PROXFLAKE","10-40%","NORMAL","HEAVY PATINA","NONE",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","N/A",NA,NA,NA,0,0,0,0,30.3,13.3,"LOCAL CAMPANIEN","10-40%","CORTEX",28,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"A1",38,"PROXFLAKE","1-10%","NORMAL","LIGHTPATINA","EXTERIOR",NA,NA,NA,"STRT FACET","NONE","NORMAL","UNI-",NA,NA,NA,0,0,0,0,17.1,5.2,"LOCAL CAMPANIEN","0-10%","CORTEX",14,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"A1",39,"MED TOOL","90-99%","NORMAL","HEAVY PATINA","EXTERIOR",10,NA,NA,NA,NA,"NORMAL","PLAIN","1","LIGHT","NONE",0,0,0,0,0,0,"LOCAL CAMPANIEN","90-100%","CORTEX",25,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"A1",40,"MED TOOL","0%","NORMAL","UNALTERED",NA,9,NA,NA,NA,NA,"NORMAL","N/A","1","NORMAL","N/A",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",11,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"A1",41,"COMPFLAKE","0%","LEVAL","UNALTERED","NONE",1,NA,NA,"LRG PLAIN","NONE","NORMAL","SUB-RAD",NA,NA,NA,53.1,41.1,41.5,7.2,7.7,3.6,"LACUSTRE/CHALCEDONY","0-10%","N/A",22,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"A1",42,"SHATTER","10-40%",NA,"UNALTERED","NONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","10-40%",NA,0,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"A1",43,"COMPFLAKE","10-40%","NORMAL","UNALTERED","NONE",48,NA,NA,"DIHEDRAL","RET S / TALON","NORMAL","N/A","1","NORMAL","NONE",38.41,41.68,50.08,8.62,48.9,11.36,"LOCAL CAMPANIEN","10-40%","CORTEX",20,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"A1",44,"COMPFLAKE","0%","NORMAL","LIGHTPATINA","EXT/INT",48,NA,NA,"LRG PLAIN","NONE","NORMAL","N/A","1","N/A","NONE",37.22,39.78,43.85,9.94,42.1,11.7,"LOCAL CAMPANIEN","0-10%","N/A",18,"NORMAL",0,"NO",42,NA,NA,NA,NA,NA,NA,NA,NA
45,"A1",45,"MEDFLAKE","1-10%","NORMAL","LIGHTPATINA","EXT/INT",48,NA,NA,NA,NA,"NORMAL","N/A","1","N/A","NONE",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","CORTEX",21,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"A1",46,"COMPFLAKE","0%","N/A","ROLLED/PATINA","EXT/INT",48,NA,NA,"MISSING","NONE","NORMAL","BI-","2","N/A","NONE",34.41,32.86,40.69,11.88,38.15,11.6,"LOCAL CAMPANIEN","0-10%","N/A",20,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"A1",47,"MEDFLAKE","0%","NORMAL","HEAVY PATINA","NONE",NA,NA,NA,NA,NA,"NORMAL","RADIAL",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",108,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"A1",48,"DISTFLAKE","10-40%","NORMAL","HEAVY PATINA","EXT/INT",48,NA,NA,"CNVX FACET","NONE","NORMAL","SUB-RAD","N/A","N/A","NONE",64.43,72.49,75.7,16.35,66.19,10.78,"SENTONIEN","10-40%","CORTEX",85,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"A1",49,"COMPFLAKE","40-60%","NORMAL","HEAVY PATINA","NONE",NA,NA,NA,"LRG PLAIN","NONE","POINT","N/A",NA,NA,NA,39.9,27.7,29.8,12.8,29.5,9.1,"BERGERAC","40-60%","CORTEX",16,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"A1",50,"DIST TOOL","1-10%","NORMAL","HEAVY PATINA","NONE",15,NA,NA,NA,NA,"NORMAL","N/A","1","NORMAL","NONE",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","CORTEX",10,NA,0,"YES",NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"A1",51,"COMPFLAKE","0%","RETFLK","LIGHTPATINA","NONE",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","RADIAL",NA,NA,NA,31.93,37.64,38.21,10.5,10.57,3.83,"LOCAL CAMPANIEN","0-10%","N/A",12,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"A1",52,"COMPFLAKE","1-10%","NORMAL","LIGHTPATINA","EXTERIOR",NA,NA,NA,"PNCT PLAIN","NONE","NORMAL","N/A",NA,NA,NA,37.4,18.7,18.7,8.8,4.1,2.8,"LOCAL CAMPANIEN","0-10%","CORTEX",6,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"A1",53,"MEDFLAKE","10-40%","NORMAL","LIGHTPATINA","EXTERIOR",48,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","10-40%","CORTEX",14,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"A1",54,"COMPFLAKE","1-10%","NORMAL","HEAVY PATINA","EXT/INT",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","RADIAL","0","N/A","NONE",68.91,38.4,45.64,10.74,17.56,11.32,"LOCAL CAMPANIEN","0-10%","CORTEX",41,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"A1",55,"COMPFLAKE","1-10%","NORMAL","LIGHTPATINA","EXT/INT",48,NA,NA,"LRG PLAIN","NONE","NORMAL","PLAIN","1","N/A","NONE",57.54,47.31,64.1,9.41,39.66,12.2,"LOCAL CAMPANIEN","0-10%","CORTEX",40,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"A1",56,"MEDFLAKE","0%","NORMAL","HEAVY PATINA","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",20,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"A1",57,"COMPTOOL","1-10%","NORMAL","LIGHTPATINA","NONE",54,NA,NA,"LRG PLAIN","NONE","NORMAL","UNI-","1","N/A","NONE",70.56,37.31,40.29,15.69,17.8,4.77,"LOCAL CAMPANIEN","0-10%","CORTEX",45,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"A1",58,"DISTFLAKE","10-40%","NORMAL","HEAVY PATINA","NONE",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","10-40%","CORTEX",26,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"A1",59,"COMPFLAKE","0%","OTHER","HEAVY PATINA","NONE",NA,NA,NA,"LRG PLAIN","NONE","ECLAT LAME","N/A",NA,NA,NA,46.5,13.1,14.3,10.3,10.5,2.7,"EXOTIC","0-10%","N/A",6,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"A1",60,"COMPTOOL","40-60%","NORMAL","LIGHTPATINA","NONE",26,NA,NA,"MISSING","MISSING","NORMAL","N/A","1","NORMAL","NONE",43.43,27.12,31.26,16.89,0.02,0.02,"LOCAL CAMPANIEN","40-60%","CORTEX",20,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"A1",61,"COREFRAG","1-10%","NORMAL","LIGHTPATINA","N/A",NA,NA,NA,NA,NA,"ANGULAR","N/A",NA,NA,NA,43.53,0,30.54,27,0,0,"LOCAL CAMPANIEN","0-10%","CORTEX",32,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"A1",62,"COMPFLAKE","60-90%","NORMAL","LIGHTPATINA","EXTERIOR",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","60-90%","CORTEX",6,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"A1",63,"COMPFLAKE","1-10%","NORMAL","HEAVY PATINA","INTERIOR",NA,NA,NA,"CNVX FACET","NONE","NORMAL","RADIAL",NA,NA,NA,56.8,27.34,31.53,5.14,12.91,4.57,"LOCAL CAMPANIEN","0-10%","CORTEX",12,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"A1",64,"COMPTOOL","0%","LEVAL","LIGHTPATINA","INTERIOR",35,NA,NA,"STRT FACET","TRIM","NORMAL","UNI-","1","N/A","NONE",43.22,32.32,32.32,6.2,9,4.06,"LOCAL CAMPANIEN","0-10%","N/A",10,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"A1",65,"MEDFLAKE","10-40%","NORMAL","HEAVY PATINA","EXTERIOR",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","10-40%","CORTEX",8,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"A1",66,"PROXFLAKE","10-40%","NORMAL","LIGHTPATINA","NONE",NA,NA,NA,"LRG PLAIN","NONE","NORMAL","RADIAL",NA,NA,NA,0,0,0,0,11.52,4.42,"LOCAL CAMPANIEN","10-40%","CORTEX",10,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"A1",67,"MEDFLAKE","0%","NORMAL","HEAVY PATINA","INTERIOR",48,NA,NA,NA,NA,"NORMAL","N/A","2","N/A","NONE",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",12,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"A1",68,"COMPTOOL","0%","NORMAL","LIGHTPATINA","NONE",32,"42",NA,"LRG PLAIN","TRIM","NORMAL","SUB-RAD","2","N/A","NONE",33.4,34.53,35.9,13.41,29.97,13.42,"LOCAL CAMPANIEN","0-10%","N/A",19,"NORMAL",0,"YES",NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"A1",69,"MEDFLAKE","40-60%","NORMAL","HEAVY PATINA","EXTERIOR",48,NA,NA,NA,NA,"NORMAL","N/A","1","N/A","NONE",0,0,0,0,0,0,"LOCAL CAMPANIEN","40-60%","CORTEX",9,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"A1",70,"COMPFLAKE","1-10%","OTHER","HEAVY PATINA","EXT/INT",NA,NA,NA,"LRG PLAIN","NONE","ANGULAR","N/A",NA,NA,NA,42.17,24.39,27.38,15.22,22.79,7.83,"LOCAL CAMPANIEN","0-10%","CORTEX",18,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"A1",71,"COMPFLAKE","1-10%","NORMAL","LIGHTPATINA","EXT/INT",48,NA,NA,"LRG PLAIN","TRIM","NORMAL","BI-","0","N/A","NONE",54.86,44.06,50.77,13.42,11.44,6.19,"LOCAL CAMPANIEN","0-10%","CORTEX",40,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"A1",72,"MEDFLAKE","60-90%","NORMAL","UNALTERED","EXTERIOR",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","60-90%","CORTEX",8,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"A1",73,"MEDFLAKE","1-10%","NORMAL","HEAVY PATINA","EXT/INT",48,NA,NA,NA,NA,"NORMAL","N/A","1","N/A","NONE",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","CORTEX",18,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"A1",74,"MEDFLAKE","60-90%","NORMAL","LIGHTPATINA","EXTERIOR",48,NA,NA,NA,NA,"NORMAL","OTHER",NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","60-90%","CORTEX",58,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"A1",75,"COMPTOOL","0%","NORMAL","ROLLED/PATINA","EXTERIOR",46,NA,NA,NA,NA,"NORMAL","N/A","2","N/A","NONE",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",8,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"A1",76,"MEDFLAKE","0%","NORMAL","ROLLED/PATINA","EXT/INT",48,NA,NA,NA,NA,"NORMAL","N/A","2","N/A","NONE",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","N/A",14,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"A1",77,"MED TOOL","1-10%","NORMAL","LIGHTPATINA","NONE",42,NA,NA,NA,NA,"NORMAL","N/A","1","N/A","NONE",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","CORTEX",31,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"A1",78,"COMPFLAKE","0%","NORMAL","ROLLED/PATINA","EXT/INT",48,NA,NA,"MISSING","NONE","NORMAL","N/A","1","N/A","NONE",34.85,21.97,28.69,9.26,26.92,7.67,"LOCAL CAMPANIEN","0-10%","N/A",12,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"A1",79,"COMPFLAKE","0%","NORMAL","HEAVY PATINA","INTERIOR",48,NA,NA,"LRG PLAIN","NONE","NORMAL","N/A",NA,NA,NA,35.4,25.9,33.4,9,20.5,6,"LOCAL CAMPANIEN","0-10%","N/A",10,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"A1",80,"MED TOOL","1-10%","NORMAL","WHITE","EXT/INT",42,NA,NA,NA,NA,"NORMAL","N/A","1","N/A","NONE",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","CORTEX",21,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"A1",81,"COMPTOOL","60-90%","NORMAL","HEAVY PATINA","EXTERIOR",9,NA,NA,"LRG PLAIN","NONE","NORMAL","PLAIN","1","LIGHT","NONE",50.44,37.28,37.85,9.7,18.74,16.67,"LOCAL CAMPANIEN","60-90%","CORTEX",27,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"A1",82,"MEDFLAKE","60-90%","NORMAL","HEAVY PATINA","EXT/INT",48,NA,NA,NA,NA,"NORMAL","N/A","1","N/A","NONE",0,0,0,0,0,0,"LOCAL CAMPANIEN","60-90%","CORTEX",9,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
